event method rate tree multiplier bin count 
del ma 0.01 tree 5 0.80 15 
del ma 0.01 tree 5 0.90 23 
del ma 0.01 tree 5 1.0 20 
del ma 0.01 tree 5 1.1 15 
del ma 0.01 tree 5 1.2 12 
del ma 0.01 tree 5 1.3 2 
del ma 0.01 tree 5 1.4 2 
del ma 0.01 tree 5 1.5 1 
del ma 0.01 tree 5 1.6 0 
del ma 0.01 tree 5 1.7 0 
del ma 0.01 tree 5 1.8 0 
del ma 0.01 tree 5 1.9 0 
del ma 0.01 tree 5 2.0 0 
ins ma 0.028 sym 1 0.0 0 
ins ma 0.028 sym 1 0.10 0 
ins ma 0.028 sym 1 0.20 0 
ins ma 0.028 sym 1 0.30 0 
ins ma 0.028 sym 1 0.40 0 
ins ma 0.028 sym 1 0.50 2 
ins ma 0.028 sym 1 0.60 7 
ins ma 0.028 sym 1 0.70 9 
ins ma 0.028 sym 1 0.80 6 
ins ma 0.028 sym 1 0.90 24 
ins ma 0.028 sym 1 1.0 11 
ins ma 0.028 sym 1 1.1 14 
ins ma 0.028 sym 1 1.2 11 
ins ma 0.028 sym 1 1.3 8 
ins ma 0.028 sym 1 1.4 5 
ins ma 0.028 sym 1 1.5 3 
ins ma 0.028 sym 1 1.6 0 
ins ma 0.028 sym 1 1.7 0 
ins ma 0.028 sym 1 1.8 0 
ins ma 0.028 sym 1 1.9 0 
ins ma 0.028 sym 1 2.0 0 
del ma 0.028 sym 1 0.0 0 
del ma 0.028 sym 1 0.10 0 
del ma 0.028 sym 1 0.20 0 
del ma 0.028 sym 1 0.30 0 
del ma 0.028 sym 1 0.40 0 
del ma 0.028 sym 1 0.50 3 
del ma 0.028 sym 1 0.60 6 
del ma 0.028 sym 1 0.70 9 
del ma 0.028 sym 1 0.80 14 
del ma 0.028 sym 1 0.90 15 
del ma 0.028 sym 1 1.0 13 
del ma 0.028 sym 1 1.1 14 
del ma 0.028 sym 1 1.2 7 
del ma 0.028 sym 1 1.3 9 
del ma 0.028 sym 1 1.4 9 
del ma 0.028 sym 1 1.5 0 
del ma 0.028 sym 1 1.6 1 
del ma 0.028 sym 1 1.7 0 
del ma 0.028 sym 1 1.8 0 
del ma 0.028 sym 1 1.9 0 
del ma 0.028 sym 1 2.0 0 
ins ma 0.028 sym 2 0.0 0 
ins ma 0.028 sym 2 0.10 0 
ins ma 0.028 sym 2 0.20 0 
ins ma 0.028 sym 2 0.30 0 
ins ma 0.028 sym 2 0.40 0 
ins ma 0.028 sym 2 0.50 0 
ins ma 0.028 sym 2 0.60 1 
ins ma 0.028 sym 2 0.70 5 
ins ma 0.028 sym 2 0.80 14 
ins ma 0.028 sym 2 0.90 21 
ins ma 0.028 sym 2 1.0 30 
ins ma 0.028 sym 2 1.1 14 
ins ma 0.028 sym 2 1.2 9 
ins ma 0.028 sym 2 1.3 6 
ins ma 0.028 sym 2 1.4 0 
ins ma 0.028 sym 2 1.5 0 
ins ma 0.028 sym 2 1.6 0 
ins ma 0.028 sym 2 1.7 0 
ins ma 0.028 sym 2 1.8 0 
ins ma 0.028 sym 2 1.9 0 
ins ma 0.028 sym 2 2.0 0 
del ma 0.028 sym 2 0.0 0 
del ma 0.028 sym 2 0.10 0 
del ma 0.028 sym 2 0.20 0 
del ma 0.028 sym 2 0.30 0 
del ma 0.028 sym 2 0.40 0 
del ma 0.028 sym 2 0.50 1 
del ma 0.028 sym 2 0.60 6 
del ma 0.028 sym 2 0.70 5 
del ma 0.028 sym 2 0.80 14 
del ma 0.028 sym 2 0.90 25 
del ma 0.028 sym 2 1.0 17 
del ma 0.028 sym 2 1.1 18 
del ma 0.028 sym 2 1.2 9 
del ma 0.028 sym 2 1.3 4 
del ma 0.028 sym 2 1.4 1 
del ma 0.028 sym 2 1.5 0 
del ma 0.028 sym 2 1.6 0 
del ma 0.028 sym 2 1.7 0 
del ma 0.028 sym 2 1.8 0 
del ma 0.028 sym 2 1.9 0 
del ma 0.028 sym 2 2.0 0 
ins ma 0.028 sym 5 0.0 0 
ins ma 0.028 sym 5 0.10 0 
ins ma 0.028 sym 5 0.20 0 
ins ma 0.028 sym 5 0.30 0 
ins ma 0.028 sym 5 0.40 0 
ins ma 0.028 sym 5 0.50 0 
ins ma 0.028 sym 5 0.60 0 
ins ma 0.028 sym 5 0.70 5 
ins ma 0.028 sym 5 0.80 22 
ins ma 0.028 sym 5 0.90 29 
ins ma 0.028 sym 5 1.0 27 
ins ma 0.028 sym 5 1.1 13 
ins ma 0.028 sym 5 1.2 3 
ins ma 0.028 sym 5 1.3 1 
ins ma 0.028 sym 5 1.4 0 
ins ma 0.028 sym 5 1.5 0 
ins ma 0.028 sym 5 1.6 0 
ins ma 0.028 sym 5 1.7 0 
ins ma 0.028 sym 5 1.8 0 
ins ma 0.028 sym 5 1.9 0 
ins ma 0.028 sym 5 2.0 0 
del ma 0.028 sym 5 0.0 0 
del ma 0.028 sym 5 0.10 0 
del ma 0.028 sym 5 0.20 0 
del ma 0.028 sym 5 0.30 0 
del ma 0.028 sym 5 0.40 0 
del ma 0.028 sym 5 0.50 0 
del ma 0.028 sym 5 0.60 0 
del ma 0.028 sym 5 0.70 3 
del ma 0.028 sym 5 0.80 15 
del ma 0.028 sym 5 0.90 37 
del ma 0.028 sym 5 1.0 33 
del ma 0.028 sym 5 1.1 9 
del ma 0.028 sym 5 1.2 3 
del ma 0.028 sym 5 1.3 0 
del ma 0.028 sym 5 1.4 0 
del ma 0.028 sym 5 1.5 0 
del ma 0.028 sym 5 1.6 0 
del ma 0.028 sym 5 1.7 0 
del ma 0.028 sym 5 1.8 0 
del ma 0.028 sym 5 1.9 0 
del ma 0.028 sym 5 2.0 0 
ins ma 0.028 tree 1 0.0 0 
ins ma 0.028 tree 1 0.10 0 
ins ma 0.028 tree 1 0.20 0 
ins ma 0.028 tree 1 0.30 1 
ins ma 0.028 tree 1 0.40 0 
ins ma 0.028 tree 1 0.50 3 
ins ma 0.028 tree 1 0.60 1 
ins ma 0.028 tree 1 0.70 6 
ins ma 0.028 tree 1 0.80 12 
ins ma 0.028 tree 1 0.90 16 
