event method rate tree multiplier bin count
del hist 0.056 sym 2 0.7748321428571429 0.9197500000000001 1.089888
ins hist 0.056 sym 5 0.7674428571428572 0.9108642857142857 1.0717607142857142
del hist 0.056 sym 5 0.726779 0.8932 1.06663
ins hist 0.056 tree 2 0.7703375 0.9050999999999999 1.06256
del hist 0.056 tree 2 0.7355982142857143 0.8921285714285715 1.0520964285714285
ins hist 0.056 tree 5 0.7317285714285714 0.8893571428571428 1.047374
del hist 0.056 tree 5 0.703256 0.8730678571428571 1.0416720000000002
ins histrec 0.005 sym 5 0.916814 1.044778 1.229994
del histrec 0.005 sym 5 0.727614 0.929946 1.078048
ins histrec 0.005 tree 5 0.9097620000000001 1.067938 1.243576
del histrec 0.005 tree 5 0.8049519999999999 0.970648 1.1384139999999998
ins histrec 0.01 sym 5 0.8988700000000001 1.0359 1.215266
del histrec 0.01 sym 5 0.771403 0.9140560000000001 1.083926
ins histrec 0.01 tree 5 0.8802519999999999 1.005646 1.170348
del histrec 0.01 tree 5 0.7845380000000001 0.926998 1.075964
ins histrec 0.028 sym 1 0.8802519999999999 1.0072299999999998 1.188534
del histrec 0.028 sym 1 0.7843607142857142 0.9251119999999999 1.07036
ins histrec 0.028 sym 2 0.8867959999999999 1.0076399999999999 1.1635639999999998
del histrec 0.028 sym 2 0.7654679999999999 0.900831 1.047272
ins histrec 0.028 sym 5 0.80968 0.96495 1.1312900000000001
del histrec 0.028 sym 5 0.6772178571428571 0.8529535714285714 1.0110071428571428
ins histrec 0.028 tree 1 0.816474 0.9717979999999999 1.1368321428571428
del histrec 0.028 tree 1 0.6925142857142856 0.869831 1.031134
ins histrec 0.028 tree 2 0.816182 0.95586 1.111592857142857
del histrec 0.028 tree 2 0.706785 0.8729142857142858 1.0281678571428572
ins histrec 0.028 tree 5 0.7843392857142857 0.9313357142857143 1.0941142857142858
del histrec 0.028 tree 5 0.6922107142857142 0.8459964285714286 1.0030785714285713
ins histrec 0.056 sym 2 0.7816374999999999 0.9177642857142857 1.0723999999999998
del histrec 0.056 sym 2 0.6770125 0.8222820000000001 0.9855035714285714
ins histrec 0.056 sym 5 0.7376214285714285 0.8942071428571428 1.057707142857143
del histrec 0.056 sym 5 0.630599 0.7947392857142858 0.967402
ins histrec 0.056 tree 2 0.7305821428571428 0.8763 1.03765
del histrec 0.056 tree 2 0.6383107142857142 0.7932107142857143 0.9579249999999999
ins histrec 0.056 tree 5 0.6885892857142857 0.8566539999999999 1.02276
del histrec 0.056 tree 5 0.5979964285714285 0.769622 0.9450821428571429
ins histref 0.005 sym 5 0.93402 1.04509 1.21297
del histref 0.005 sym 5 0.74395 0.9183 1.049782
ins histref 0.005 tree 5 0.90762 1.048076 1.229994
del histref 0.005 tree 5 0.8049519999999999 0.96537 1.12876
ins histref 0.01 sym 5 0.9024570000000001 1.028394 1.19676
del histref 0.01 sym 5 0.7716599999999999 0.910149 1.078048
ins histref 0.01 tree 5 0.8874089999999999 0.9978559999999999 1.16831
del histref 0.01 tree 5 0.7847389999999999 0.914823 1.06096
ins histref 0.028 sym 1 0.8874089999999999 0.9995928571428571 1.183038
del histref 0.028 sym 1 0.7843607142857142 0.9170821428571428 1.0633464285714285
ins histref 0.028 sym 2 0.888131 1.001375 1.1634200000000001
